winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
1,1,38,UTEP,2.0,97.0,0.0,6.0,3.0,26.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,27.0,0.0,5.0,10.0,0.0,1.0,1.0,0.14285714285714285,5.9,49.0,289.0,8.2,0.5357142857142857,229.0,518.0,0.0,0.6470588235294118,28.0
0,0,22,New Mexico State,2.0,0.0,0.0,1.0,0.0,35.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,44.0,1.0,4.0,4.0,0.0,0.0,0.0,0.175,4.6,30.0,139.0,5.0,0.4146341463414634,206.0,345.0,0.5,0.3333333333333333,19.0
0,0,17,Montana State,1.0,0.0,0.0,0.0,1.0,65.0,0.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,37.0,0.0,1.0,3.0,1.0,0.0,1.0,0.13333333333333333,2.9,38.0,110.0,5.4,0.5555555555555556,195.0,305.0,0.6666666666666666,0.29411764705882354,19.0
1,1,20,Idaho,2.0,16.0,0.0,5.0,0.0,118.0,0.0,6.0,8.0,30.0,0.0,1.0,0.0,1.0,5.0,0.0,56.0,1.0,6.0,5.0,1.0,1.0,2.0,0.125,6.4,36.0,229.0,5.8,0.36363636363636365,128.0,357.0,0.0,0.18181818181818182,15.0
1,1,50,Texas,5.0,30.0,0.0,3.0,2.0,29.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,54.0,3.0,2.0,4.0,1.0,0.0,1.0,0.10576923076923077,4.0,59.0,237.0,10.4,0.5925925925925926,280.0,517.0,1.0,0.4444444444444444,26.0
0,0,47,Notre Dame,1.0,51.0,0.0,2.0,5.0,95.0,0.0,5.0,9.0,22.0,0.0,1.0,0.0,0.0,7.0,0.0,54.0,0.0,1.0,1.0,0.0,0.0,0.0,0.125,4.5,46.0,206.0,7.9,0.5666666666666667,238.0,444.0,0.0,0.4375,22.0
0,1,24,North Carolina,2.0,20.0,0.0,2.0,0.0,170.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,44.0,4.0,0.0,2.0,0.0,0.0,0.0,0.12871287128712872,8.4,19.0,159.0,3.9,0.6,156.0,315.0,0.0,0.38461538461538464,16.0
1,0,33,Georgia,3.0,-2.0,0.0,3.0,1.0,24.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,36.0,1.0,0.0,6.0,0.0,1.0,1.0,0.12857142857142856,5.6,52.0,289.0,9.3,0.65,185.0,474.0,0.0,0.5,25.0
0,0,7,Massachusetts,1.0,9.0,0.0,2.0,0.0,27.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,43.0,1.0,3.0,5.0,0.0,0.0,0.0,0.28,1.3,35.0,46.0,8.3,0.5294117647058824,141.0,187.0,0.5,0.09090909090909091,12.0
1,1,24,Florida,0.0,33.0,0.0,4.0,2.0,53.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,30.0,4.0,4.0,4.0,0.0,0.0,0.0,0.1,3.7,29.0,107.0,5.8,0.6590909090909091,256.0,363.0,0.5,0.5294117647058824,21.0
0,0,13,App State,1.0,45.0,0.0,1.0,1.0,46.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,5.0,0.0,38.0,2.0,2.0,5.0,1.0,0.0,1.0,0.1388888888888889,4.3,43.0,184.0,4.7,0.6521739130434783,108.0,292.0,0.5,0.23076923076923078,17.0
1,1,20,Tennessee,1.0,0.0,0.0,3.0,1.0,41.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,43.0,0.0,1.0,2.0,1.0,1.0,2.0,0.10909090909090909,3.0,43.0,127.0,6.6,0.5517241379310345,192.0,319.0,0.0,0.4375,19.0
0,1,10,Vanderbilt,1.0,4.0,0.0,3.0,0.0,49.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.15151515151515152,4.0,42.0,169.0,3.2,0.34782608695652173,73.0,242.0,0.0,0.26666666666666666,14.0
1,0,13,South Carolina,1.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,38.0,1.0,3.0,5.0,0.0,2.0,2.0,0.13725490196078433,3.8,32.0,121.0,6.2,0.5333333333333333,187.0,308.0,0.0,0.375,14.0
1,0,44,Southern Miss,3.0,0.0,0.0,0.0,2.0,96.0,0.0,6.0,14.0,0.0,0.0,1.0,2.0,2.0,9.0,0.0,37.0,4.0,3.0,2.0,3.0,0.0,3.0,0.14,3.9,68.0,262.0,9.2,0.6428571428571429,258.0,520.0,0.5,0.5294117647058824,32.0
