winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
1,1,61,Florida,4.0,30.0,0.0,3.0,4.0,46.0,0.0,2.0,13.0,43.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.1,5.4,41.0,222.0,10.1,0.8157894736842105,384.0,606.0,1.0,0.6666666666666666,28.0
0,0,13,New Mexico State,1.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.1111111111111111,2.9,22.0,64.0,4.7,0.5172413793103449,136.0,200.0,0.6666666666666666,0.08333333333333333,8.0
1,0,45,Ohio,2.0,0.0,0.0,1.0,3.0,17.0,0.0,1.0,9.0,54.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.10869565217391304,5.4,38.0,205.0,11.4,0.8,284.0,489.0,0.0,0.5,23.0
0,1,28,Idaho,2.0,-1.0,0.0,1.0,1.0,157.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,2.0,1.0,3.0,0.1,3.6,28.0,100.0,6.2,0.75,297.0,397.0,0.8,0.2857142857142857,25.0
0,0,3,Texas,0.0,3.0,0.0,2.0,0.0,125.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08,2.1,29.0,60.0,4.5,0.34782608695652173,103.0,163.0,0.0,0.14285714285714285,8.0
1,1,38,Notre Dame,2.0,-1.0,0.0,4.0,3.0,10.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.15384615384615385,4.1,52.0,214.0,13.6,0.8260869565217391,313.0,527.0,0.0,0.5714285714285714,30.0
0,0,14,UL Monroe,0.0,0.0,0.0,0.0,2.0,62.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.16666666666666666,1.7,26.0,45.0,7.1,0.7931034482758621,206.0,251.0,0.0,0.35714285714285715,12.0
1,1,51,Georgia,4.0,37.0,0.0,3.0,3.0,61.0,0.0,3.0,7.0,26.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13333333333333333,6.4,38.0,243.0,13.7,0.7142857142857143,192.0,435.0,0.0,0.5555555555555556,19.0
0,0,30,Bowling Green,1.0,23.0,0.0,2.0,2.0,52.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.09375,3.6,34.0,124.0,8.5,0.5686274509803921,433.0,557.0,1.0,0.2222222222222222,24.0
1,1,59,Tennessee,6.0,102.0,0.0,3.0,2.0,86.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,6.2,64.0,399.0,8.9,0.6521739130434783,205.0,604.0,0.0,0.5625,29.0
0,0,13,North Carolina,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.0,0.0,3.0,0.2,6.3,33.0,208.0,7.5,0.6129032258064516,232.0,440.0,0.0,0.38461538461538464,20.0
1,1,17,South Carolina,1.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,5.0,2.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13333333333333333,5.4,47.0,254.0,5.2,0.4444444444444444,140.0,394.0,0.5,0.4666666666666667,22.0
0,0,33,Louisiana,4.0,-2.0,0.0,2.0,0.0,77.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,2.0,2.0,4.0,0.1,5.3,47.0,247.0,5.7,0.6341463414634146,232.0,479.0,0.75,0.3684210526315789,27.0
1,1,40,Kentucky,2.0,16.0,0.0,1.0,3.0,127.0,0.0,4.0,10.0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.07407407407407407,6.8,26.0,178.0,7.6,0.47058823529411764,257.0,435.0,1.0,0.35714285714285715,18.0
1,0,14,Western Kentucky,1.0,0.0,0.0,0.0,1.0,45.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12857142857142856,1.6,23.0,37.0,7.0,0.6333333333333333,209.0,246.0,0.0,0.16666666666666666,11.0
0,1,12,Vanderbilt,0.0,12.0,0.0,3.0,1.0,61.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.0,1.0,3.0,0.125,4.0,42.0,168.0,6.4,0.5294117647058824,217.0,385.0,0.6666666666666666,0.3888888888888889,20.0
0,1,13,Central Michigan,1.0,0.0,0.0,0.0,0.0,62.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.2,2.8,28.0,78.0,6.3,0.6904761904761905,265.0,343.0,0.0,0.4444444444444444,18.0
1,0,24,Oklahoma State,2.0,0.0,0.0,3.0,1.0,42.0,0.0,2.0,6.0,3.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11428571428571428,4.4,35.0,153.0,8.3,0.6875,266.0,419.0,0.0,0.42857142857142855,19.0
0,0,0,South Dakota,0.0,4.0,0.0,2.0,0.0,58.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.18181818181818182,1.7,36.0,61.0,6.8,0.6,205.0,266.0,0.0,0.4444444444444444,16.0
1,1,34,Kansas State,2.0,52.0,0.0,3.0,1.0,100.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.11428571428571428,4.6,41.0,189.0,8.2,0.5,147.0,336.0,0.0,0.4166666666666667,16.0
0,1,21,SMU,1.0,0.0,0.0,0.0,2.0,144.0,0.0,6.0,3.0,32.0,0.0,1.0,0.0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.125,3.8,54.0,203.0,6.9,0.6666666666666666,166.0,369.0,0.5,0.4666666666666667,22.0
1,0,56,Baylor,2.0,5.0,0.0,1.0,6.0,24.0,0.0,1.0,8.0,37.0,0.0,2.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.12380952380952381,8.1,37.0,300.0,13.2,0.53125,423.0,723.0,0.6666666666666666,0.4,27.0
0,0,7,Northern Iowa,0.0,0.0,0.0,3.0,1.0,43.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.13513513513513514,3.1,41.0,126.0,5.2,0.5882352941176471,176.0,302.0,0.0,0.1875,16.0
1,1,31,Iowa State,1.0,193.0,1.0,8.0,2.0,0.0,0.0,0.0,7.0,24.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.10416666666666667,2.4,32.0,77.0,8.0,0.7241379310344828,233.0,310.0,0.0,0.23076923076923078,15.0
0,0,45,Sam Houston,5.0,-3.0,0.0,2.0,1.0,9.0,0.0,1.0,9.0,27.0,0.0,1.0,0.0,0,0,0,0,0,0,0,2.0,2.0,4.0,0.10638297872340426,6.9,46.0,317.0,6.2,0.6923076923076923,320.0,637.0,0.0,0.6,34.0
1,1,59,Texas Tech,2.0,18.0,0.0,3.0,4.0,139.0,1.0,4.0,11.0,47.0,1.0,2.0,2.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.14492753623188406,5.6,31.0,174.0,7.7,0.5964912280701754,437.0,611.0,0.0,0.5625,29.0
1,0,41,South Dakota State,2.0,2.0,0.0,1.0,3.0,42.0,0.0,2.0,11.0,53.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12,4.4,39.0,170.0,8.9,0.5151515151515151,293.0,463.0,1.0,0.35714285714285715,25.0
0,1,38,Kansas,3.0,25.0,0.0,2.0,1.0,142.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.09333333333333334,5.6,51.0,285.0,7.3,0.625,291.0,576.0,0.8,0.4375,29.0
0,1,17,Minnesota,1.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.11666666666666667,3.7,39.0,144.0,5.6,0.5428571428571428,197.0,341.0,0.5,0.26666666666666666,18.0
1,0,23,TCU,1.0,13.0,0.0,3.0,1.0,57.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.18,4.6,44.0,203.0,5.9,0.6190476190476191,246.0,449.0,0.0,0.3684210526315789,25.0
0,0,0,Georgia Southern,0.0,0.0,0.0,0.0,0.0,96.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0,1.0,5.0,0.06666666666666667,3.4,57.0,195.0,2.2,0.15384615384615385,29.0,224.0,0.0,0.3125,14.0
1,1,44,West Virginia,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13513513513513514,4.6,40.0,185.0,13.8,0.6153846153846154,359.0,544.0,0.5,0.25,21.0
1,1,48,Arkansas,2.0,12.0,0.0,2.0,4.0,55.0,0.0,2.0,12.0,12.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08823529411764706,5.4,34.0,182.0,15.4,0.7,308.0,490.0,1.0,0.45454545454545453,18.0
0,0,13,UTEP,1.0,2.0,0.0,1.0,0.0,130.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,2.0,3.0,0.13333333333333333,1.7,34.0,58.0,7.7,0.7368421052631579,146.0,204.0,0.0,0.5,13.0
0,0,16,Wagner,0.0,14.0,0.0,1.0,2.0,151.0,0.0,6.0,4.0,10.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.08,2.3,37.0,86.0,9.0,0.45454545454545453,199.0,285.0,0.0,0.16666666666666666,13.0
1,1,56,Rice,7.0,32.0,0.0,3.0,1.0,111.0,0.0,4.0,8.0,37.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.08163265306122448,7.4,54.0,401.0,6.8,0.5714285714285714,142.0,543.0,0.0,0.7333333333333333,28.0
0,0,42,Eastern Washington,1.0,0.0,0.0,0.0,5.0,105.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.14102564102564102,3.6,31.0,111.0,8.0,0.6727272727272727,438.0,549.0,0.75,0.42857142857142855,31.0
1,1,61,Oregon,6.0,6.0,0.0,1.0,2.0,113.0,0.0,5.0,13.0,21.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.11428571428571428,8.5,57.0,485.0,9.8,0.76,246.0,731.0,0.75,0.5,34.0
1,1,16,Northwestern,1.0,7.0,0.0,1.0,0.0,19.0,0.0,1.0,10.0,17.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08771929824561403,4.2,54.0,225.0,4.2,0.48,105.0,330.0,1.0,0.5454545454545454,17.0
0,0,6,Stanford,0.0,-8.0,0.0,2.0,0.0,90.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.2,3.1,27.0,85.0,4.4,0.5714285714285714,155.0,240.0,1.0,0.2,17.0
1,1,16,Boise State,2.0,2.0,0.0,1.0,0.0,21.0,0.0,1.0,4.0,7.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.10606060606060606,3.5,53.0,185.0,5.6,0.6296296296296297,152.0,337.0,0.5,0.4444444444444444,21.0
0,0,13,Washington,0.0,93.0,1.0,2.0,0.0,22.0,0.0,2.0,7.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.15625,1.3,22.0,29.0,4.3,0.5714285714285714,150.0,179.0,0.0,0.2857142857142857,11.0
0,0,14,Grambling,1.0,7.0,0.0,1.0,1.0,229.0,0.0,11.0,2.0,1.0,0.0,2.0,1.0,0,0,0,0,0,0,0,4.0,1.0,5.0,0.13114754098360656,3.8,33.0,127.0,5.7,0.36666666666666664,170.0,297.0,0.0,0.2,11.0
1,1,73,California,4.0,-4.0,0.0,2.0,4.0,29.0,0.0,2.0,13.0,22.0,2.0,4.0,1.0,0,0,0,0,0,0,0,2.0,1.0,3.0,0.08333333333333333,4.7,39.0,185.0,9.6,0.6938775510204082,471.0,656.0,1.0,0.5,31.0
0,0,7,Weber State,0.0,4.0,0.0,1.0,0.0,156.0,0.0,9.0,1.0,8.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.09333333333333334,3.2,18.0,58.0,3.3,0.5277777777777778,120.0,178.0,0.0,0.0,9.0
1,1,26,Oregon State,0.0,23.0,0.0,3.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.1044776119402985,5.0,56.0,281.0,5.0,0.5454545454545454,110.0,391.0,0.0,0.35294117647058826,22.0
0,0,15,Villanova,1.0,0.0,0.0,0.0,1.0,92.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.1111111111111111,3.2,36.0,114.0,5.7,0.5454545454545454,189.0,303.0,0.3333333333333333,0.5294117647058824,18.0
1,1,20,UConn,1.0,0.0,0.0,0.0,2.0,12.0,0.0,1.0,2.0,6.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.13333333333333333,2.7,39.0,105.0,10.1,0.6,202.0,307.0,1.0,0.46153846153846156,19.0
1,1,12,Utah State,0.0,171.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.08943089430894309,4.0,35.0,140.0,3.3,0.48484848484848486,110.0,250.0,0.0,0.0625,15.0
0,0,9,Southern Utah,0.0,38.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1411764705882353,1.7,30.0,52.0,3.3,0.5,111.0,163.0,0.0,0.05555555555555555,9.0
1,0,24,Portland State,3.0,0.0,0.0,0.0,0.0,81.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08196721311475409,4.9,48.0,233.0,5.1,0.5833333333333334,61.0,294.0,1.0,0.5,19.0
0,1,17,Washington State,0.0,6.0,0.0,2.0,2.0,92.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.15625,3.5,30.0,104.0,6.8,0.6222222222222222,307.0,411.0,0.875,0.25,21.0
0,0,6,Arkansas State,1.0,6.0,0.0,2.0,0.0,122.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.0,2.0,4.0,0.09090909090909091,4.2,50.0,208.0,5.2,0.4594594594594595,193.0,401.0,0.0,0.3157894736842105,19.0
1,1,55,USC,3.0,38.0,0.0,3.0,4.0,25.0,0.0,2.0,7.0,52.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12,5.8,32.0,185.0,10.1,0.71875,324.0,509.0,0.0,0.3,22.0
0,1,28,Nebraska,1.0,5.0,0.0,1.0,3.0,19.0,0.0,1.0,4.0,43.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.13333333333333333,3.4,37.0,126.0,7.8,0.5853658536585366,319.0,445.0,0.0,0.42857142857142855,25.0
1,0,33,BYU,2.0,11.0,0.0,1.0,2.0,19.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.13333333333333333,5.1,26.0,132.0,8.2,0.6086956521739131,379.0,511.0,0.5,0.21428571428571427,21.0
0,0,24,Louisville,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,3.0,0.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.14285714285714285,5.0,48.0,238.0,5.1,0.5151515151515151,167.0,405.0,1.0,0.5,27.0
1,1,31,Auburn,2.0,-2.0,0.0,1.0,1.0,64.0,0.0,3.0,7.0,35.0,0.0,1.0,1.0,0,0,0,0,0,0,0,3.0,0.0,3.0,0.1,4.6,41.0,190.0,6.5,0.5238095238095238,137.0,327.0,0.0,0.4,21.0
0,0,7,Presbyterian,1.0,5.0,0.0,1.0,0.0,105.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.12371134020618557,3.8,41.0,155.0,6.0,0.5185185185185185,163.0,318.0,0.5,0.25,17.0
1,1,26,Miami (OH),2.0,3.0,0.0,3.0,2.0,12.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.10317460317460317,5.1,40.0,205.0,11.3,0.7391304347826086,261.0,466.0,0.0,0.38461538461538464,18.0
