winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
1,1,79,Penn State,7.0,41.0,0.0,8.0,3.0,0.0,0.0,1.0,19.0,25.0,0.0,1.0,0.0,6.0,11.0,0.0,32.0,14.0,0.0,5.0,0.0,1.0,1.0,0.1,7.4,45.0,331.0,9.2,0.6756756756756757,342.0,673.0,0.6666666666666666,0.125,35.0
0,0,7,Idaho,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,96.0,0.0,1.0,8.0,1.0,0.0,1.0,0.14925373134328357,0.1,28.0,4.0,5.4,0.6153846153846154,141.0,145.0,0.0,0.06666666666666667,5.0
0,1,17,Louisville,2.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,10.0,12.0,0.0,88.0,6.0,8.0,4.0,0.0,3.0,3.0,0.16,5.3,47.0,249.0,4.8,0.42857142857142855,134.0,383.0,0.5,0.4,21.0
1,0,35,Notre Dame,4.0,-2.0,0.0,1.0,1.0,16.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0,4.0,22.0,0.0,49.0,8.0,6.0,10.0,0.0,1.0,1.0,0.2,5.5,42.0,230.0,8.4,0.6086956521739131,193.0,423.0,0.0,0.4166666666666667,18.0
0,1,6,Vanderbilt,0.0,0.0,0.0,0.0,0.0,35.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,72.0,0.0,4.0,3.0,0.0,1.0,1.0,0.15873015873015872,3.9,30.0,116.0,3.4,0.5,109.0,225.0,0.5,0.21428571428571427,17.0
1,0,30,Georgia,2.0,61.0,0.0,4.0,1.0,41.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,66.0,4.0,4.0,2.0,0.0,1.0,1.0,0.08695652173913043,8.1,40.0,323.0,6.8,0.6521739130434783,156.0,479.0,0.0,0.14285714285714285,25.0
0,0,20,Miami,1.0,-1.0,0.0,1.0,1.0,32.0,0.0,1.0,8.0,41.0,0.0,2.0,4.0,6.0,6.0,0.0,52.0,2.0,3.0,2.0,0.0,1.0,1.0,0.11864406779661017,2.4,36.0,87.0,7.1,0.6333333333333333,214.0,301.0,0.0,0.14285714285714285,20.0
1,1,24,Florida,1.0,19.0,0.0,3.0,2.0,44.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,4.0,16.0,0.0,82.0,20.0,5.0,4.0,2.0,2.0,4.0,0.09,1.8,28.0,50.0,9.4,0.6296296296296297,254.0,304.0,1.0,0.2,17.0
1,0,38,Georgia State,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,76.0,4.0,4.0,4.0,0.0,1.0,1.0,0.16129032258064516,4.0,53.0,213.0,5.8,0.4583333333333333,139.0,352.0,0.5,0.5882352941176471,24.0
0,1,30,Tennessee,1.0,35.0,0.0,2.0,2.0,72.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,70.0,4.0,3.0,3.0,1.0,2.0,3.0,0.125,3.0,31.0,93.0,7.8,0.65,311.0,404.0,0.0,0.6153846153846154,21.0
1,1,24,North Carolina,0.0,15.0,0.0,1.0,2.0,13.0,0.0,1.0,10.0,33.0,0.0,2.0,0.0,4.0,7.0,0.0,60.0,3.0,8.0,2.0,0.0,1.0,1.0,0.1111111111111111,4.6,52.0,238.0,10.2,0.625,245.0,483.0,0.5,0.3125,23.0
0,0,20,South Carolina,1.0,66.0,0.0,3.0,1.0,100.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,36.0,6.0,2.0,4.0,2.0,0.0,2.0,0.12,4.1,31.0,128.0,4.7,0.5333333333333333,142.0,270.0,0.0,0.23076923076923078,15.0
0,0,24,Toledo,3.0,6.0,0.0,3.0,0.0,59.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,2.0,14.0,0.0,41.0,1.0,2.0,1.0,1.0,1.0,2.0,0.1375,4.6,39.0,181.0,6.6,0.44,166.0,347.0,0.0,0.4375,15.0
1,1,38,Kentucky,3.0,5.0,0.0,2.0,2.0,62.0,0.0,3.0,8.0,3.0,0.0,1.0,2.0,8.0,7.0,0.0,32.0,4.0,2.0,10.0,0.0,2.0,2.0,0.11475409836065574,4.5,39.0,176.0,9.5,0.7307692307692307,246.0,422.0,1.0,0.2727272727272727,20.0
0,1,36,Oregon State,1.0,0.0,0.0,0.0,4.0,132.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,110.0,1.0,1.0,1.0,0.0,0.0,0.0,0.09411764705882353,4.5,37.0,167.0,5.7,0.5306122448979592,281.0,448.0,0.5,0.65,26.0
1,0,52,Oklahoma State,4.0,4.0,0.0,3.0,3.0,64.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,100.0,1.0,8.0,14.0,0.0,0.0,0.0,0.10909090909090909,6.8,52.0,352.0,8.5,0.7916666666666666,203.0,555.0,0.0,0.7692307692307693,30.0
0,0,14,Nicholls,2.0,0.0,0.0,0.0,0.0,47.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,130.0,0.0,0.0,0.0,1.0,1.0,2.0,0.10526315789473684,6.5,23.0,150.0,7.0,0.5555555555555556,126.0,276.0,0.0,0.16666666666666666,11.0
1,1,49,Kansas State,5.0,9.0,0.0,1.0,1.0,70.0,0.0,3.0,7.0,20.0,0.0,1.0,2.0,0.0,2.0,2.0,32.0,0.0,2.0,6.0,0.0,0.0,0.0,0.1,6.2,58.0,361.0,9.6,0.7272727272727273,212.0,573.0,0.0,0.8333333333333334,33.0
0,0,17,Stephen F. Austin,2.0,17.0,0.0,1.0,0.0,16.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,44.0,0.0,8.0,4.0,1.0,0.0,1.0,0.08,3.7,32.0,119.0,5.3,0.5333333333333333,158.0,277.0,0.0,0.375,13.0
1,1,56,Baylor,4.0,18.0,0.0,3.0,4.0,35.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,4.0,8.0,0.0,35.0,6.0,8.0,6.0,0.0,1.0,1.0,0.16666666666666666,7.2,37.0,268.0,6.8,0.7027027027027027,250.0,518.0,1.0,0.6153846153846154,30.0
0,0,26,Northern Iowa,0.0,0.0,0.0,0.0,1.0,43.0,0.0,3.0,14.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,100.0,4.0,2.0,14.0,0.0,0.0,0.0,0.1,1.1,31.0,34.0,5.4,0.5952380952380952,228.0,262.0,1.0,0.35294117647058826,17.0
1,1,29,Iowa State,1.0,0.0,0.0,0.0,2.0,23.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,84.0,6.0,6.0,3.0,0.0,1.0,1.0,0.1,4.1,45.0,185.0,6.8,0.7317073170731707,278.0,463.0,0.5,0.3888888888888889,26.0
0,0,10,Montana State,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,122.0,1.0,0.0,8.0,0.0,0.0,0.0,0.13333333333333333,3.5,36.0,127.0,6.8,0.5,162.0,289.0,0.5,0.125,8.0
1,1,45,Texas Tech,4.0,21.0,0.0,3.0,2.0,19.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,60.0,1.0,3.0,8.0,0.0,1.0,1.0,0.13793103448275862,6.4,40.0,255.0,7.9,0.7272727272727273,436.0,691.0,0.0,0.5333333333333333,35.0
0,0,17,Indiana State,0.0,15.0,0.0,3.0,1.0,17.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,92.0,2.0,4.0,3.0,2.0,0.0,2.0,0.11428571428571428,3.9,37.0,146.0,6.4,0.6470588235294118,219.0,365.0,0.6666666666666666,0.35714285714285715,20.0
