winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
0,1,17,Lamar,1.0,0.0,0.0,0.0,1.0,82.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14285714285714285,2.3,31.0,71.0,5.0,0.625,119.0,190.0,0.0,0.46153846153846156,16.0
1,0,42,Idaho,2.0,26.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.07920792079207921,7.6,36.0,273.0,10.7,0.7619047619047619,224.0,497.0,0.0,0.6666666666666666,20.0
0,0,3,Navy,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,42.0,0.0,1.0,2.0,0.0,0.0,0.0,0.11538461538461539,2.6,48.0,126.0,6.1,0.42857142857142855,43.0,169.0,0.75,0.2857142857142857,12.0
1,1,42,Notre Dame,2.0,11.0,0.0,1.0,4.0,41.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,41.0,2.0,2.0,0.0,0.0,0.0,0.0,0.1,6.0,32.0,191.0,10.1,0.8,253.0,444.0,1.0,0.7142857142857143,27.0
0,0,3,Tennessee State,0.0,0.0,0.0,0.0,0.0,76.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,45.0,0.0,1.0,1.0,2.0,0.0,2.0,0.1111111111111111,2.6,35.0,91.0,3.0,0.36363636363636365,67.0,158.0,1.0,0.2857142857142857,12.0
1,1,56,Notre Dame,3.0,27.0,0.0,3.0,4.0,8.0,0.0,1.0,8.0,33.0,1.0,2.0,0.0,1.0,5.0,1.0,32.0,1.0,10.0,4.0,0.0,1.0,1.0,0.1111111111111111,6.7,33.0,221.0,11.2,0.8,336.0,557.0,0.0,0.8181818181818182,26.0
0,0,7,UT Martin,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,45.0,0.0,0.0,3.0,1.0,0.0,1.0,0.1388888888888889,4.6,29.0,134.0,3.9,0.5454545454545454,128.0,262.0,1.0,0.14285714285714285,15.0
1,1,48,Georgia,3.0,19.0,0.0,2.0,2.0,31.0,0.0,1.0,12.0,26.0,1.0,1.0,0.0,1.0,4.0,1.0,28.0,1.0,0.0,2.0,0.0,0.0,0.0,0.11904761904761904,5.3,30.0,159.0,10.3,0.6666666666666666,400.0,559.0,0.0,0.4166666666666667,28.0
1,1,24,Utah,2.0,5.0,0.0,3.0,1.0,16.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,7.0,0.0,37.0,5.0,0.0,4.0,0.0,0.0,0.0,0.13513513513513514,3.5,30.0,105.0,7.2,0.6521739130434783,165.0,270.0,0.0,0.23076923076923078,14.0
0,0,11,Florida,0.0,5.0,0.0,2.0,1.0,47.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,29.0,0.0,2.0,2.0,1.0,0.0,1.0,0.1956521739130435,0.6,21.0,13.0,7.6,0.7045454545454546,333.0,346.0,0.4,0.07692307692307693,17.0
0,0,13,Virginia,1.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,1.0,0.0,5.0,0.0,0.0,0.0,0.2,2.4,40.0,95.0,4.4,0.4583333333333333,106.0,201.0,0.0,0.2777777777777778,12.0
1,1,49,Tennessee,5.0,105.0,0.0,3.0,2.0,34.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,32.0,4.0,2.0,5.0,0.0,1.0,1.0,0.11428571428571428,5.5,52.0,287.0,6.4,0.696969696969697,212.0,499.0,0.6666666666666666,0.38461538461538464,29.0
1,1,31,North Carolina,2.0,0.0,0.0,0.0,2.0,16.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,46.0,9.0,0.0,1.0,2.0,0.0,2.0,0.14285714285714285,4.3,39.0,168.0,8.4,0.75,269.0,437.0,0.5,0.6153846153846154,21.0
0,0,17,South Carolina,2.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,5.0,22.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0,0.0,2.0,1.0,0.0,0.0,0.0,0.17142857142857143,-0.1,31.0,-2.0,9.1,0.7692307692307693,353.0,351.0,0.0,0.2857142857142857,20.0
0,0,14,Ball State,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,27.0,1.0,2.0,2.0,0.0,2.0,2.0,0.15384615384615385,1.8,41.0,72.0,7.4,0.7333333333333333,223.0,295.0,0.5,0.5294117647058824,18.0
1,1,44,Kentucky,2.0,27.0,0.0,2.0,1.0,117.0,1.0,2.0,14.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,44.0,3.0,1.0,1.0,1.0,0.0,1.0,0.13725490196078433,5.7,20.0,113.0,7.8,0.5806451612903226,241.0,354.0,0.0,0.4444444444444444,17.0
0,0,28,Hawai'i,1.0,0.0,0.0,0.0,3.0,90.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,35.0,3.0,2.0,6.0,2.0,0.0,2.0,0.11864406779661017,1.6,25.0,40.0,10.0,0.7714285714285715,351.0,391.0,0.75,0.2727272727272727,19.0
1,1,35,Vanderbilt,1.0,27.0,0.0,1.0,3.0,97.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,0.0,8.0,1.0,37.0,3.0,4.0,4.0,0.0,0.0,0.0,0.1111111111111111,1.5,26.0,39.0,8.6,0.6333333333333333,258.0,297.0,0.3333333333333333,0.4166666666666667,17.0
0,0,13,Alabama A&M,0.0,0.0,0.0,0.0,1.0,50.0,0.0,3.0,7.0,8.0,0.0,1.0,0.0,0.0,4.0,0.0,37.0,1.0,1.0,6.0,1.0,0.0,1.0,0.18,4.1,33.0,135.0,4.2,0.5294117647058824,143.0,278.0,1.0,0.3333333333333333,14.0
1,1,47,Vanderbilt,3.0,96.0,0.0,6.0,3.0,69.0,0.0,3.0,9.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,30.0,2.0,3.0,2.0,1.0,0.0,1.0,0.15,6.3,34.0,215.0,7.9,0.5483870967741935,246.0,461.0,0.0,0.6428571428571429,24.0
0,0,13,Central Arkansas,0.0,5.0,0.0,2.0,2.0,31.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,35.0,1.0,4.0,3.0,0.0,1.0,1.0,0.14285714285714285,4.4,28.0,123.0,7.2,0.6486486486486487,268.0,391.0,0.0,0.38461538461538464,19.0
1,1,27,Oklahoma State,2.0,0.0,0.0,1.0,1.0,25.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,42.0,5.0,1.0,5.0,1.0,0.0,1.0,0.12195121951219512,4.8,31.0,149.0,6.3,0.625,304.0,453.0,0.5,0.4,24.0
0,0,0,Southeast Missouri State,0.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,0.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.2,26.0,6.0,6.0,0.6756756756756757,221.0,227.0,0.0,0.2857142857142857,13.0
1,1,45,Kansas State,3.0,0.0,0.0,0.0,3.0,33.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,46.0,4.0,2.0,2.0,1.0,0.0,1.0,0.1111111111111111,5.7,40.0,228.0,11.6,0.7096774193548387,360.0,588.0,0.5,0.4,28.0
1,0,42,Texas State,3.0,7.0,0.0,1.0,3.0,51.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,4.0,10.0,0.0,49.0,3.0,1.0,4.0,0.0,2.0,2.0,0.12903225806451613,3.7,39.0,143.0,9.9,0.7333333333333333,298.0,441.0,1.0,0.38461538461538464,20.0
