winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
1,0,34,Ohio State,1.0,24.0,0.0,3.0,2.0,53.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.1,4.8,40.0,194.0,15.1,0.8,226.0,420.0,0.5,0.25,19.0
0,1,17,Navy,2.0,0.0,0.0,0.0,0.0,64.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.15,5.9,63.0,370.0,5.0,0.5,20.0,390.0,1.0,0.3333333333333333,22.0
0,0,10,Troy,1.0,11.0,0.0,2.0,0.0,54.0,0.0,2.0,4.0,28.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.09090909090909091,2.0,36.0,71.0,6.5,0.6774193548387096,201.0,272.0,0.3333333333333333,0.3125,15.0
1,1,48,UAB,4.0,14.0,0.0,2.0,2.0,64.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0.08571428571428572,6.1,55.0,338.0,7.6,0.65,152.0,490.0,0.0,0.6428571428571429,25.0
1,0,30,Boston College,2.0,0.0,0.0,1.0,1.0,56.0,0.0,2.0,12.0,20.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.12727272727272726,5.5,61.0,338.0,6.9,0.68,173.0,511.0,0.6666666666666666,0.5294117647058824,27.0
0,1,7,Massachusetts,0.0,0.0,0.0,0.0,1.0,95.0,0.0,4.0,1.0,20.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.17391304347826086,2.5,22.0,55.0,6.7,0.4090909090909091,147.0,202.0,0.0,0.2727272727272727,9.0
1,0,26,Penn State,1.0,9.0,0.0,2.0,1.0,129.0,0.0,5.0,14.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,2.0,1.0,3.0,0.1,2.0,28.0,57.0,9.7,0.6808510638297872,454.0,511.0,0.5,0.5555555555555556,24.0
0,1,24,UCF,2.0,0.0,0.0,0.0,1.0,142.0,0.0,5.0,6.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.1702127659574468,0.8,29.0,24.0,10.1,0.5454545454545454,222.0,246.0,0.5,0.38461538461538464,11.0
1,0,27,UTSA,3.0,-4.0,0.0,5.0,0.0,45.0,0.0,2.0,9.0,57.0,0.0,4.0,2.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.12173913043478261,2.8,50.0,142.0,5.0,0.625,121.0,263.0,1.0,0.29411764705882354,17.0
0,1,7,Houston,1.0,0.0,0.0,1.0,0.0,89.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,4.0,2.0,6.0,0.19148936170212766,-1.1,23.0,-26.0,4.7,0.5,234.0,208.0,0.5,0.25,18.0
