winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
1,1,24,Washington State,0.0,6.0,0.0,2.0,3.0,20.0,0.0,1.0,6.0,11.0,0.0,2.0,0.0,3.0,12.0,0.0,39.0,7.0,4.0,3.0,0.0,3.0,3.0,0.08571428571428572,5.7,25.0,143.0,5.4,0.625,215.0,358.0,0.0,0.46153846153846156,19.0
0,0,17,Idaho,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,32.0,3.0,3.0,4.0,2.0,0.0,2.0,0.14,1.8,34.0,62.0,6.6,0.65625,212.0,274.0,0.42857142857142855,0.23529411764705882,13.0
1,1,21,Ohio State,1.0,4.0,0.0,1.0,2.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0,3.0,1.0,2.0,0.0,0.0,0.0,0.09333333333333334,4.9,35.0,172.0,6.6,0.7058823529411765,223.0,395.0,0.0,0.5384615384615384,22.0
0,0,10,Notre Dame,1.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,36.0,1.0,0.0,2.0,0.0,0.0,0.0,0.08196721311475409,2.5,30.0,76.0,9.8,0.5555555555555556,177.0,253.0,0.0,0.23076923076923078,12.0
0,0,0,Presbyterian,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12195121951219512,2.5,36.0,89.0,6.2,0.42857142857142855,130.0,219.0,0.0,0.2,9.0
1,1,63,Austin Peay,4.0,50.0,0.0,3.0,5.0,20.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,6.0,51.0,308.0,7.2,0.5714285714285714,301.0,609.0,0.5,0.7777777777777778,36.0
1,1,38,Western Kentucky,0.0,31.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0,34.0,1.0,2.0,4.0,0.0,7.0,1.0,40.0,5.0,4.0,1.0,1.0,0.0,1.0,0.09302325581395349,3.4,32.0,108.0,8.2,0.5882352941176471,279.0,387.0,1.0,0.35714285714285715,19.0
0,0,27,Austin Peay,1.0,32.0,0.0,2.0,2.0,40.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,36.0,0.0,2.0,6.0,2.0,2.0,4.0,0.13333333333333333,3.6,48.0,171.0,7.4,0.7142857142857143,156.0,327.0,1.0,0.3888888888888889,19.0
1,0,27,Missouri State,1.0,1.0,0.0,2.0,1.0,126.0,0.0,3.0,9.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0975609756097561,2.8,32.0,90.0,8.9,0.6,266.0,356.0,0.0,0.3076923076923077,17.0
0,1,14,Central Arkansas,1.0,4.0,0.0,1.0,1.0,53.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.14285714285714285,4.1,41.0,168.0,5.6,0.5806451612903226,173.0,341.0,0.6666666666666666,0.08333333333333333,23.0
