winner,home,points,school,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
0,1,38,Florida State,3.0,0.0,0.0,0.0,2.0,72.0,0.0,3.0,6.0,5.0,0.0,1.0,0.0,1.0,9.0,0.0,34.0,4.0,0.0,2.0,3.0,0.0,3.0,0.16666666666666666,5.5,48.0,264.0,6.8,0.5384615384615384,178.0,442.0,0.5,0.4375,19.0
1,0,41,Notre Dame,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,11.0,4.0,0.0,3.0,0.0,2.0,8.0,0.0,36.0,5.0,6.0,0.0,1.0,0.0,1.0,0.13157894736842105,1.9,35.0,65.0,10.5,0.7428571428571429,366.0,431.0,0.5,0.35294117647058826,17.0
0,1,3,Clemson,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,0.0,35.0,1.0,2.0,3.0,1.0,0.0,1.0,0.11864406779661017,0.1,23.0,2.0,4.8,0.5135135135135135,178.0,180.0,0.0,0.3125,14.0
1,0,10,Georgia,0.0,13.0,0.0,2.0,0.0,25.0,0.0,1.0,4.0,74.0,1.0,1.0,0.0,2.0,8.0,1.0,27.0,7.0,2.0,4.0,1.0,1.0,2.0,0.10638297872340426,3.9,31.0,121.0,4.5,0.7333333333333333,135.0,256.0,0.0,0.4666666666666667,15.0
0,0,14,Florida Atlantic,1.0,-1.0,0.0,1.0,1.0,61.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,35.0,0.0,0.0,4.0,0.0,2.0,2.0,0.21428571428571427,2.5,37.0,92.0,7.9,0.5757575757575758,261.0,353.0,0.0,0.4166666666666667,23.0
1,1,35,Florida,4.0,50.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,35.0,6.0,8.0,1.0,2.0,0.0,2.0,0.0989010989010989,8.7,46.0,400.0,4.4,0.5714285714285714,153.0,553.0,0.5,0.625,26.0
0,0,6,Bowling Green,0.0,0.0,0.0,0.0,0.0,96.0,0.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1375,1.4,23.0,32.0,4.9,0.6578947368421053,187.0,219.0,0.0,0.14285714285714285,11.0
1,1,38,Tennessee,4.0,12.0,0.0,3.0,1.0,71.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,32.0,2.0,3.0,6.0,0.0,2.0,2.0,0.1111111111111111,5.2,64.0,331.0,6.0,0.5,144.0,475.0,0.3333333333333333,0.4666666666666667,31.0
0,0,0,Eastern Illinois,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,45.0,1.0,2.0,1.0,2.0,0.0,2.0,0.12195121951219512,1.4,22.0,31.0,3.5,0.5909090909090909,78.0,109.0,1.0,0.0,9.0
1,1,46,South Carolina,1.0,3.0,0.0,2.0,4.0,3.0,0.0,1.0,8.0,66.0,1.0,2.0,0.0,1.0,5.0,1.0,28.0,2.0,3.0,1.0,0.0,1.0,1.0,0.13114754098360656,5.4,47.0,254.0,6.9,0.6666666666666666,185.0,439.0,1.0,0.5384615384615384,22.0
0,0,10,UL Monroe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,35.0,4.0,3.0,2.0,0.0,0.0,0.0,0.12,0.4,43.0,17.0,3.5,0.55,70.0,87.0,1.0,0.3157894736842105,12.0
1,1,45,Kentucky,2.0,9.0,0.0,3.0,4.0,28.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,37.0,6.0,2.0,2.0,1.0,2.0,3.0,0.1076923076923077,4.3,34.0,145.0,12.7,0.6666666666666666,419.0,564.0,0.0,0.5454545454545454,24.0
1,0,23,East Tennessee State,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,95.0,0.0,2.0,2.0,0.0,4.0,0.0,41.0,2.0,3.0,5.0,0.0,0.0,0.0,0.09333333333333334,4.8,37.0,179.0,6.1,0.5909090909090909,135.0,314.0,0.0,0.4,13.0
0,1,3,Vanderbilt,0.0,0.0,0.0,0.0,0.0,51.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,36.0,0.0,2.0,4.0,2.0,1.0,3.0,0.11428571428571428,2.7,31.0,85.0,5.4,0.5454545454545454,236.0,321.0,0.5,0.3333333333333333,23.0
0,0,16,Missouri State,0.0,5.0,0.0,2.0,1.0,68.0,0.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,31.0,1.0,4.0,3.0,0.0,2.0,2.0,0.14035087719298245,2.8,37.0,102.0,5.1,0.5217391304347826,234.0,336.0,0.0,0.3333333333333333,23.0
1,1,23,Oklahoma State,2.0,15.0,0.0,3.0,1.0,36.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,43.0,5.0,11.0,3.0,1.0,1.0,2.0,0.14705882352941177,1.9,28.0,54.0,7.9,0.55,315.0,369.0,0.0,0.4375,16.0
0,0,7,Stanford,0.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,31.0,3.0,1.0,0.0,2.0,0.0,2.0,0.13846153846153847,1.8,22.0,39.0,6.5,0.7666666666666667,194.0,233.0,1.0,0.3333333333333333,14.0
1,1,24,Kansas State,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,37.0,0.0,2.0,0.0,0.0,8.0,0.0,33.0,4.0,0.0,2.0,1.0,0.0,1.0,0.1125,6.5,31.0,200.0,10.3,0.6428571428571429,144.0,344.0,1.0,0.2857142857142857,15.0
0,1,20,Texas State,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,38.0,0.0,2.0,0.0,3.0,0.0,3.0,0.12,2.9,27.0,79.0,3.9,0.5,156.0,235.0,1.0,0.2857142857142857,20.0
1,0,29,Baylor,2.0,-1.0,0.0,1.0,0.0,40.0,0.0,2.0,9.0,40.0,1.0,3.0,0.0,2.0,7.0,1.0,24.0,1.0,5.0,3.0,0.0,1.0,1.0,0.1111111111111111,5.3,45.0,238.0,6.2,0.625,148.0,386.0,0.5,0.38461538461538464,22.0
0,0,10,Northern Iowa,0.0,9.0,0.0,1.0,1.0,16.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,37.0,1.0,1.0,0.0,2.0,0.0,2.0,0.17857142857142858,1.7,26.0,45.0,6.8,0.6176470588235294,230.0,275.0,0.5,0.47058823529411764,13.0
1,1,16,Iowa State,1.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,10.0,15.0,0.0,2.0,0.0,2.0,5.0,0.0,35.0,2.0,8.0,2.0,0.0,0.0,0.0,0.12903225806451613,4.0,34.0,136.0,7.7,0.8076923076923077,199.0,335.0,0.0,0.35714285714285715,17.0
0,1,21,Houston,1.0,13.0,0.0,2.0,2.0,66.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,37.0,3.0,4.0,2.0,4.0,0.0,4.0,0.12,2.2,35.0,77.0,4.6,0.7105263157894737,174.0,251.0,1.0,0.3333333333333333,15.0
1,0,38,Texas Tech,3.0,32.0,0.0,4.0,1.0,28.0,0.0,2.0,8.0,13.0,1.0,4.0,0.0,2.0,9.0,1.0,53.0,4.0,0.0,3.0,0.0,1.0,1.0,0.1276595744680851,5.2,28.0,145.0,9.6,0.7083333333333334,231.0,376.0,0.0,0.4,15.0
0,0,14,South Dakota,2.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,48.0,1.0,0.0,2.0,0.0,0.0,0.0,0.2,4.0,41.0,165.0,4.5,0.45454545454545453,98.0,263.0,0.0,0.23076923076923078,14.0
1,1,17,Kansas,0.0,0.0,0.0,0.0,2.0,110.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,43.0,1.0,2.0,5.0,0.0,0.0,0.0,0.13725490196078433,2.0,41.0,82.0,6.3,0.6538461538461539,163.0,245.0,0.3333333333333333,0.29411764705882354,13.0
0,0,3,Duquesne,0.0,2.0,0.0,1.0,0.0,12.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,34.0,0.0,0.0,2.0,1.0,1.0,2.0,0.12195121951219512,2.1,29.0,61.0,6.3,0.25,76.0,137.0,0.0,0.2727272727272727,6.0
1,1,45,TCU,4.0,23.0,0.0,2.0,2.0,69.0,0.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,26.0,1.0,3.0,2.0,1.0,0.0,1.0,0.1111111111111111,4.7,38.0,178.0,10.5,0.75,253.0,431.0,1.0,0.5454545454545454,26.0
1,1,30,Maryland,0.0,2.0,0.0,1.0,3.0,45.0,0.0,3.0,12.0,5.0,0.0,2.0,2.0,1.0,5.0,0.0,36.0,3.0,3.0,6.0,0.0,0.0,0.0,0.1282051282051282,3.7,44.0,164.0,9.2,0.7222222222222222,332.0,496.0,0.5,0.4,22.0
0,0,24,West Virginia,2.0,-2.0,0.0,2.0,1.0,217.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,53.0,1.0,1.0,4.0,2.0,2.0,4.0,0.2,2.3,21.0,48.0,6.9,0.6,277.0,325.0,1.0,0.42857142857142855,18.0
1,1,51,Pittsburgh,5.0,-1.0,0.0,5.0,2.0,47.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,32.0,5.0,9.0,4.0,0.0,2.0,2.0,0.1,5.4,41.0,223.0,8.3,0.7555555555555555,375.0,598.0,0.5,0.6153846153846154,35.0
0,0,7,Massachusetts,1.0,0.0,0.0,0.0,0.0,67.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,50.0,1.0,1.0,4.0,0.0,1.0,1.0,0.09090909090909091,1.6,27.0,42.0,5.4,0.45161290322580644,167.0,209.0,0.0,0.23076923076923078,11.0
0,0,28,Bethune-Cookman,2.0,-4.0,0.0,2.0,2.0,24.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,48.0,2.0,1.0,2.0,1.0,1.0,2.0,0.11764705882352941,4.7,25.0,118.0,9.8,0.6818181818181818,215.0,333.0,0.0,0.25,12.0
1,1,38,UTEP,2.0,-4.0,0.0,1.0,3.0,50.0,0.0,3.0,8.0,27.0,0.0,1.0,2.0,2.0,6.0,0.0,29.0,2.0,1.0,2.0,0.0,1.0,1.0,0.10619469026548672,5.7,51.0,289.0,8.0,0.6086956521739131,183.0,472.0,1.0,0.36363636363636365,24.0
0,1,3,New Mexico State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,2.0,0.0,2.0,5.0,0.0,35.0,0.0,2.0,1.0,0.0,1.0,1.0,0.10588235294117647,2.7,34.0,91.0,2.8,0.2727272727272727,92.0,183.0,0.3333333333333333,0.2,20.0
1,0,30,UTEP,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,29.0,4.0,4.0,5.0,2.0,0.0,2.0,0.08275862068965517,4.8,42.0,203.0,12.5,0.55,249.0,452.0,0.6666666666666666,0.25,19.0
1,1,38,Arkansas,4.0,4.0,0.0,1.0,1.0,108.0,0.0,4.0,8.0,88.0,0.0,3.0,0.0,2.0,6.5,0.0,24.0,2.0,5.0,3.0,1.0,0.0,1.0,0.1111111111111111,5.6,44.0,245.0,6.1,0.5714285714285714,128.0,373.0,0.0,0.2727272727272727,18.0
0,0,17,Rice,1.0,19.0,0.0,2.0,1.0,16.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,30.0,2.0,2.0,1.0,3.0,0.0,3.0,0.16666666666666666,2.1,39.0,81.0,6.7,0.5,227.0,308.0,0.5,0.26666666666666666,19.0
0,0,24,Fresno State,1.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,43.0,3.0,0.0,3.0,0.0,3.0,3.0,0.12698412698412698,2.6,30.0,77.0,6.9,0.6976744186046512,298.0,375.0,0.0,0.4666666666666667,23.0
1,1,31,Oregon,3.0,17.0,0.0,1.0,1.0,107.0,0.0,6.0,7.0,0.0,0.0,0.0,4.0,2.0,8.0,0.0,35.0,4.0,0.0,0.0,0.0,1.0,1.0,0.09195402298850575,3.8,49.0,186.0,7.2,0.625,172.0,358.0,0.6666666666666666,0.4375,20.0
1,0,13,Montana,1.0,45.0,0.0,2.0,0.0,23.0,0.0,1.0,7.0,3.0,0.0,3.0,0.0,0.0,8.0,0.0,39.0,3.0,0.0,2.0,0.0,0.0,0.0,0.08641975308641975,3.7,34.0,127.0,4.6,0.5217391304347826,105.0,232.0,0.0,0.15384615384615385,10.0
0,1,7,Washington,1.0,9.0,0.0,1.0,0.0,52.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,39.0,1.0,0.0,5.0,3.0,0.0,3.0,0.1,2.4,27.0,65.0,4.9,0.5869565217391305,226.0,291.0,0.3333333333333333,0.2857142857142857,21.0
1,0,22,Nevada,0.0,54.0,0.0,2.0,2.0,63.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,45.0,2.0,1.0,4.0,1.0,0.0,1.0,0.08888888888888889,2.3,26.0,61.0,8.0,0.5641025641025641,312.0,373.0,1.0,0.375,19.0
0,1,17,California,1.0,25.0,0.0,2.0,1.0,54.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,34.0,2.0,0.0,4.0,1.0,0.0,1.0,0.08928571428571429,5.7,27.0,153.0,4.7,0.6578947368421053,177.0,330.0,0.0,0.42857142857142855,17.0
1,1,30,Purdue,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,9.0,0.0,1.0,0.0,1.0,3.0,0.0,33.0,1.0,2.0,6.0,1.0,0.0,1.0,0.11428571428571428,2.7,33.0,88.0,7.5,0.6904761904761905,313.0,401.0,0.0,0.4375,24.0
0,0,21,Oregon State,3.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,49.0,1.0,1.0,2.0,1.0,0.0,1.0,0.16,3.1,25.0,78.0,7.5,0.5526315789473685,285.0,363.0,0.25,0.35714285714285715,15.0
1,1,50,Middle Tennessee,2.0,70.0,1.0,2.0,3.0,15.0,0.0,2.0,6.0,44.0,1.0,1.0,3.0,1.0,9.0,2.0,47.0,3.0,5.0,1.0,0.0,0.0,0.0,0.12727272727272726,2.8,34.0,96.0,9.5,0.7692307692307693,248.0,344.0,0.0,0.3,19.0
0,0,15,Monmouth,1.0,4.0,0.0,1.0,1.0,34.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,37.0,2.0,1.0,3.0,1.0,3.0,4.0,0.13333333333333333,2.3,38.0,88.0,4.4,0.6428571428571429,186.0,274.0,0.6,0.35294117647058826,17.0
1,1,45,San José State,2.0,10.0,0.0,4.0,4.0,63.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,34.0,1.0,1.0,9.0,1.0,1.0,2.0,0.12087912087912088,5.8,23.0,133.0,13.7,0.6,410.0,543.0,0.0,0.6923076923076923,20.0
0,0,14,Southern Utah,0.0,0.0,0.0,1.0,1.0,41.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.13333333333333333,3.6,31.0,111.0,4.5,0.5483870967741935,139.0,250.0,0.5,0.2857142857142857,17.0
